ScientificName
entolium membranaceum
entolium orbiculare
entolium demissus
semimodiola hastata
entolium utukokense
euptera zambiensis
arcticlam nanseni
mytilon theresae
macrosolen cyclopeus
isocrassina henckeliusiana
pterolucina consobrina
entolium irenense
turnus lacombi
quoiecchia aliciae
hippagus isocardioides
miocardiopsis korobkovi
agnomyax monilifer
panomya norvegica
caspiconcha rubani
cardilona bensoni
pseudoheligmus nigeriensis
ambocardia delta
