parameter,Estimate,Est.Error,Q2.5,Q97.5
"r_fml[Radiolitidae,Intercept]",0.07800740043963715,2.5934263067794796,-4.935547462400618,5.464798240499575
"r_fml[Sareptidae,Intercept]",-0.02421719956790012,2.538142481831731,-5.594933168018497,5.291331755040119
"r_fml[Spondylidae,Intercept]",-0.012053987581173226,2.7609185821638107,-5.9565300102602565,5.554186495771494
"r_fml[Steinmanellidae,Intercept]",-0.02110836640851736,2.610363421338634,-5.324467859368049,5.413648175296353
"r_fml[Tancrediidae,Intercept]",0.00575056593669514,2.60208734516981,-5.340871787365354,5.460242467185302
"r_fml[Tellinidae,Intercept]",0.020122825400081194,2.5580618838216425,-5.280017826653761,5.501173075060459
"r_fml[Terquemiidae,Intercept]",0.014280150726128,2.6450165615798036,-5.411567025089142,5.3948829197418755
"r_fml[Thyasiridae,Intercept]",-0.015361632763204007,2.6056038959457855,-5.261639336002624,5.503458434152447
"r_fml[Trechmannellidae,Intercept]",0.050194179177175564,2.6327440201002155,-5.386089998323866,5.591417371668439
"r_fml[Trigoniidae,Intercept]",0.0230903173122668,2.5920424907386828,-5.215438450047814,5.426729743046136
"r_fml[Unionidae,Intercept]",-0.0013031689094832035,2.490092789787332,-5.162461230169818,5.373666387441279
"r_fml[Veneridae,Intercept]",-0.006945466640640374,2.5838611847695874,-5.236463113973021,5.388508097039007
"r_fml[Yoldiidae,Intercept]",0.04808800483726947,2.604360570541549,-5.099734063608273,5.677155601362031
"r_fml[Anomiidae,pocn_temp_scaled]",-6.177436857057824e-4,1.429596862863116,-3.020262282714834,3.010754462531886
"r_fml[Antillocaprinidae,pocn_temp_scaled]",-0.014556441465636396,1.5322947566183556,-3.1363610522083922,3.0504742586576774
"r_fml[Arcidae,pocn_temp_scaled]",0.003512152847903901,1.4493315208921937,-3.001310635052357,3.020885644795471
"r_fml[Arcticidae,pocn_temp_scaled]",-0.013905248573249564,1.4824950774953733,-3.0358282038553654,3.067604679385891
"r_fml[Astartidae,pocn_temp_scaled]",-0.02170840767012739,1.4316661180833452,-3.1123643818333515,2.9789121377819727
"r_fml[Bakevelliidae,pocn_temp_scaled]",0.01638497927110669,1.4956615528126236,-3.0119510438392596,3.1660322517848822
"r_fml[Buchiidae,pocn_temp_scaled]",-0.05091599996127303,1.3405303067567775,-3.0941873727039666,2.6837214354851104
"r_fml[Cardiidae,pocn_temp_scaled]",0.015970368975068365,1.4968413093516064,-3.018522856137404,3.196126531499507
"r_fml[Cardiolariidae,pocn_temp_scaled]",-0.006240984868458625,1.497527298661144,-3.11184221046982,3.1709775134296327
"r_fml[Carditidae,pocn_temp_scaled]",0.014612237633430274,1.3969316288718714,-2.961062203360153,3.0354708259463754
"r_fml[Condylocardiidae,pocn_temp_scaled]",0.018183431986840023,1.489045300346734,-3.0338029583281165,3.082079434137892
"r_fml[Corbiculidae,pocn_temp_scaled]",-0.00180369698881185,1.531750358957819,-3.2237668060470632,3.2237058090254793
"r_fml[Corbulidae,pocn_temp_scaled]",-0.017793894377671465,1.4467275135827136,-3.1504122297094934,2.95959040077484
"r_fml[Crassatellidae,pocn_temp_scaled]",-0.031011187449324136,1.4830994187023399,-3.2907573374452634,3.001334083209755
"r_fml[Cucullaeidae,pocn_temp_scaled]",0.01116691027505681,1.4536491023175946,-3.0284893748751704,3.159916171420234
"r_fml[Cuspidariidae,pocn_temp_scaled]",0.02460436098036874,1.504505231152369,-2.985589606421187,3.095562372445326
"r_fml[Dimyidae,pocn_temp_scaled]",-0.010619785344885262,1.528691764704836,-3.206100707647513,3.042458895001287
"r_fml[Donacidae,pocn_temp_scaled]",0.01960003368087651,1.5364740399090953,-3.0008058155673205,3.066928866779376
"r_fml[Entoliidae,pocn_temp_scaled]",-0.05634782276317309,1.4381430183357247,-3.290556753459057,2.808635991169653
"r_fml[Flemingostreidae,pocn_temp_scaled]",-0.015360043645820541,1.4581049673660997,-3.1027781357578936,3.03886994725625
"r_fml[Glycymerididae,pocn_temp_scaled]",0.026652175560856754,1.4408793468305645,-2.984770531282515,3.1095239832373576
"r_fml[Gryphaeidae,pocn_temp_scaled]",0.045469763429733225,1.4659037411669114,-2.9712854468659313,3.2145423056602103
"r_fml[Hiatellidae,pocn_temp_scaled]",-0.06533704048367583,1.37383294691036,-3.2089562229422754,2.76237543398007
"r_fml[Hippuritidae,pocn_temp_scaled]",-0.014047163687982091,1.4177252825128712,-3.0233408320263666,2.8145228418699877
"r_fml[Inoceramidae,pocn_temp_scaled]",-0.05424519333812061,1.3967543189259715,-3.139237338115884,2.7908683262469234
"r_fml[Jilinoconchidae,pocn_temp_scaled]",0.0024075612601428585,1.4953348941224938,-3.038575710146418,3.1050092339308826
"r_fml[Lahillidae,pocn_temp_scaled]",-0.026549623830007838,1.384612809322061,-2.984105373797315,2.7656565726374494
"r_fml[Laternulidae,pocn_temp_scaled]",0.006682101385284622,1.4728792944365368,-3.087057942607341,3.0689689893970575
"r_fml[Limidae,pocn_temp_scaled]",-0.03931328258333116,1.4005528114095103,-3.0590917094526313,2.829756202153341
"r_fml[Lucinidae,pocn_temp_scaled]",-0.029722686259371252,1.481532558413947,-3.2449290550874585,3.0436971009814533
"r_fml[Mactridae,pocn_temp_scaled]",-0.017399031721923103,1.4402528638474705,-3.018273509543161,2.977737550432486
"r_fml[Mactromyidae,pocn_temp_scaled]",0.034332489803017556,1.4473868581360305,-2.888910968983738,3.263645449972017
"r_fml[Malletiidae,pocn_temp_scaled]",-0.06332884173631272,1.4739415565197722,-3.287906266461869,2.7902841480159037
"r_fml[Megatrigoniidae,pocn_temp_scaled]",-1.9564938637945469e-4,1.5001136721618313,-3.1006850744577408,3.1331457050432805
"r_fml[Monopleuridae,pocn_temp_scaled]",-0.004497469067022788,1.4557464277063317,-3.180096438811533,3.064932468397361
"r_fml[Mytilidae,pocn_temp_scaled]",0.018783638908458553,1.467798365356907,-2.953266235939035,3.093118576908579
"r_fml[Neitheidae,pocn_temp_scaled]",0.013869445323401416,1.521893438171994,-3.051381907335749,3.0737578860336443
"r_fml[Nuculanidae,pocn_temp_scaled]",0.0020457508732314228,1.4745170672079233,-3.1922407454671546,2.985767105515756
"r_fml[Nuculidae,pocn_temp_scaled]",-0.05082234651412398,1.4078621758113885,-3.1164957922524095,2.644968335935817
"r_fml[Ostreidae,pocn_temp_scaled]",0.020183306490606557,1.4453394132414477,-2.9881362087940677,3.1929196136789413
