pos_n,row_n,row_n_fixed,col_n,col_n_fixed,row,col,distance
10156562,2801,2802,2937,2937,spisula berryi,spisula bernayi,3
10368199,2860,2861,699,699,cardita dupini,cardita arduini,3
10645802,2936,2937,2802,2802,spisula bernayi,spisula berryi,3
11837154,3265,3266,1529,1529,macrocallista tia,macrocallista inca,3
12056666,3325,3326,3541,3541,modiolus sookensis,modiolus onoensis,3
12259694,3381,3382,3569,3569,lima bella,lima beta,3
12337127,3403,3404,1252,1252,marcia angustifrons,limarca angustifrons,3
12491851,3446,3447,101,101,cardium perobliquum,cardium subperobliquum,3
12554386,3463,3464,1011,1011,anomia linensis,anomia lisbonensis,3
12727585,3511,3512,210,210,clisocolus indubitus,clisocolus dubius,3
12835826,3540,3541,3326,3326,modiolus onoensis,modiolus sookensis,3
12937382,3568,3569,3382,3382,lima beta,lima bella,3
279881,77,78,756,756,inoceramus balticus,inoceramus anglicus,4
482260,133,134,135,135,pachecoa decisa,pachecoa declivis,4
485884,134,135,134,134,pachecoa declivis,pachecoa decisa,4
538015,148,149,1515,1515,tellina leana,tellina longa,4
538676,148,149,2176,2176,tellina leana,tellina planata,4
615729,169,170,3104,3104,nuculana multilineata,nuculana acutilineata,4
627914,173,174,789,789,nucula ovula,nucula ovata,4
763956,210,211,2706,2706,inoceramus fibrosus,inoceramus gibbosus,4
999151,275,276,2276,2276,buchia fischeriana,lucina fischeriana,4
1128164,311,312,789,789,nucula curvata,nucula ovata,4
1203851,332,333,351,351,bicorbula gallicula,corbula gallica,4
1269083,350,351,333,333,corbula gallica,bicorbula gallicula,4
1619432,446,447,2682,2682,etea carolinensis,ostrea carolinensis,4
1620186,446,447,3436,3436,etea carolinensis,leda carolinensis,4
1786026,492,493,2526,2526,venericardia carolinensis,venericardia parinensis,4
1814569,500,501,2069,2069,venericardia nasuta,venericardia minuta,4
1951956,538,539,1706,1706,plicatula variplicata,plicatula variata,4
1957248,539,540,3373,3373,spondylus dumosus,spondylus rugosus,4
1963356,541,542,2231,2231,ostrea paroxis,ostrea arrosis,4
1974494,544,545,2494,2494,venericardia carsonensis,venericardia carmenensis,4
1994571,550,551,821,821,venericardia eoa,venericardia regia,4
2008829,554,555,579,579,pteria argentea,atrina argentea,4
2095805,578,579,555,555,atrina argentea,pteria argentea,4
2134305,588,589,2805,2805,panopea oblongata,panopaea elongata,4
2347641,647,648,2266,2266,tellina patula,tellina alta,4
2398215,661,662,2090,2090,nuculana prisca,nucula narica,4
2578164,711,712,789,789,nucula comta,nucula ovata,4
2578410,711,712,1035,1035,nucula comta,nucula mixta,4
2736953,755,756,78,78,inoceramus anglicus,inoceramus balticus,4
2830799,780,781,3299,3299,venericardia aizyensis,venericardia waynensis,4
2856674,788,789,174,174,nucula ovata,nucula ovula,4
2856812,788,789,312,312,nucula ovata,nucula curvata,4
2857212,788,789,712,712,nucula ovata,nucula comta,4
2973051,820,821,551,551,venericardia regia,venericardia eoa,4
2974736,820,821,2236,2236,venericardia regia,venericardia greggiana,4
3013651,831,832,1276,1276,ostrea roncana,ostrea prona,4
3112898,858,859,2648,2648,tellina emacerata,tellina temperata,4
3346949,923,924,1074,1074,ostrea conica,ostrea inca,4
3748962,1034,1035,712,712,nucula mixta,nucula comta,4
3801015,1048,1049,2015,2015,ostrea parrensis,ostrea puruensis,4
3801231,1048,1049,2231,2231,ostrea parrensis,ostrea arrosis,4
3890549,1073,1074,924,924,ostrea inca,ostrea conica,4
4381139,1208,1209,2139,2139,limea riparia,lima rara,4
4622707,1275,1276,832,832,ostrea prona,ostrea roncana,4
4623912,1275,1276,2037,2037,ostrea prona,ostrea praelonga,4
4704970,1297,1298,3345,3345,diplodonta alta,diplodonta polita,4
4984130,1374,1375,3380,3380,lucina diaboli,lucina dalli,4
5488399,1514,1515,149,149,tellina longa,tellina leana,4
5687375,1568,1569,3375,3375,cucullaea alta,cucullaea lirata,4
5783972,1595,1596,2097,2097,lucina inca,lucina narica,4
5932311,1636,1637,1811,1811,lima halensis,lima muralensis,4
5947844,1640,1641,2844,2844,tellina segregata,tellina serrata,4
6106680,1684,1685,2180,2180,ostrea normalis,ostrea dorsalis,4
6135934,1692,1693,2434,2434,pecten ceibanus,pecten alcesianus,4
6181164,1705,1706,539,539,plicatula variata,plicatula variplicata,4
6562887,1810,1811,1637,1637,lima muralensis,lima halensis,4
