parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,0.016426178496530913,0.09590597760345657,-0.17552231100029486,0.20365586606068908
b_mst_stand,0.3282963681471581,0.10195927125501164,0.1311695468886683,0.5288114490484684
phi,9.06321679103326,1.8261996974074666,5.899114174347278,13.011937541127622
zoi,0.2874395482174897,0.0556839622383806,0.1857923018377607,0.4040209070884768
coi,0.9499605521917401,0.04680701014441043,0.8247784908241989,0.9988076981692302
prior_Intercept,0.016609094062967948,4.141911332625658,-7.865011421172914,8.04543345779592
prior_phi,0.8584128247887096,9.005362784739395,1.9446099439585005e-162,3.740623554393384
prior_zoi,0.4933028154653647,0.2882847870141108,0.024356564076622414,0.9742977222213101
prior_coi,0.5036377986747903,0.28709680312386693,0.02627404448793296,0.9759738365564188
lprior,-8.816391335167543,0.21880707557188228,-9.233220888268681,-8.38025948926927
lp__,-31.189700345490024,1.6401687000961096,-35.13655974031735,-29.002613351826177
